id	disciplina
307	7C.17 - DIREITO PROCESSUAL CIVIL: EXECUÇÕES
308	7C.17 - PRÁTICA PROCESSUAL CIVIL PROCEDIMENTO COMUM E RECURSOS
309	7C.17 - DIREITO DO TRABALHO INDIVIDUAL E COLETIVO
310	7C.17 - DIREITO CIVIL: FAMÍLIA
311	7D.17 - DIREITO PROCESSUAL CIVIL: EXECUÇÕES
312	7D.17 - DIREITO DO TRABALHO INDIVIDUAL E COLETIVO
313	7D.17 - PRÁTICA PROCESSUAL CIVIL PROCEDIMENTO COMUM E RECURSOS
314	7D.17 - DIREITO CIVIL: FAMÍLIA
315	7D.17 - DIREITO PROCESSUAL PENAL: PROCEDIMENTO COMUM E TRIBUNAL DO JÚRI
316	7E.17 - DIREITO PROCESSUAL CIVIL: EXECUÇÕES
317	7E.17 - DIREITO DO TRABALHO INDIVIDUAL E COLETIVO
318	7E.17 - PRÁTICA PROCESSUAL CIVIL PROCEDIMENTO COMUM E RECURSOS
319	7E.17 - DIREITO CIVIL: FAMÍLIA
320	7E.17 - DIREITO PROCESSUAL PENAL: PROCEDIMENTO COMUM E TRIBUNAL DO JÚRI
321	9A.17 - ESTÁGIO CURRICULAR SUPERVISIONADO – NPJ PRÁTICA III DIREITO PENAL
322	9A.17 - DIREITO INTERNACIONAL PÚBLICO
323	9A.17 - DIREITO CIVIL VIII
324	9A.17 - DIREITO TRIBUTÁRIO I
325	9A.17 - DIREITO PROCESSUAL CONSTITUCIONAL I
326	9A.17 - DIREITO PROCESSUAL CIVIL VI
327	9A.17 - DIREITO ADMINISTRATIVO II
328	9A.17 - DIREITO PROCESSUAL DO TRABALHO I
329	9A.17 - ESTÁGIO CURRICULAR SUPERVISIONADO IX - NPJ
330	9B.17 - ESTÁGIO CURRICULAR SUPERVISIONADO – NPJ PRÁTICA III DIREITO PENAL
331	9B.17 - DIREITO INTERNACIONAL PÚBLICO
332	9B.17 - DIREITO CIVIL VIII
333	9B.17 - DIREITO TRIBUTÁRIO I
334	9B.17 - DIREITO PROCESSUAL CONSTITUCIONAL I
335	9B.17 - DIREITO PROCESSUAL CIVIL VI
336	9B.17 - DIREITO ADMINISTRATIVO II
337	9B.17 - DIREITO PROCESSUAL DO TRABALHO I
338	9B.17 - ESTÁGIO CURRICULAR SUPERVISIONADO IX - NPJ
339	9C.17 - ESTÁGIO CURRICULAR SUPERVISIONADO – NPJ PRÁTICA III DIREITO PENAL
340	9C.17 - DIREITO INTERNACIONAL PÚBLICO
341	9C.17 - DIREITO CIVIL VIII
342	9C.17 - DIREITO TRIBUTÁRIO I
343	9C.17 - DIREITO PROCESSUAL CONSTITUCIONAL I
344	9C.17 - DIREITO PROCESSUAL CIVIL VI
345	9C.17 - DIREITO ADMINISTRATIVO II
346	9C.17 - DIREITO PROCESSUAL DO TRABALHO I
347	9C.17 - ESTÁGIO CURRICULAR SUPERVISIONADO IX - NPJ
348	9D.17 - DIREITO INTERNACIONAL PÚBLICO
349	9D.17 - DIREITO ADMINISTRATIVO II
350	9D.17 - ESTÁGIO CURRICULAR SUPERVISIONADO – NPJ PRÁTICA III DIREITO PENAL
351	9D.17 - DIREITO PROCESSUAL CONSTITUCIONAL I
352	9D.17 - DIREITO PROCESSUAL DO TRABALHO I
353	9D.17 - ESTÁGIO CURRICULAR SUPERVISIONADO IX - NPJ
354	9D.17 - DIREITO PROCESSUAL CIVIL VI
355	9D.17 - DIREITO CIVIL VIII
356	9D.17 - DIREITO TRIBUTÁRIO I
357	9E.17 - DIREITO INTERNACIONAL PÚBLICO
358	9E.17 - DIREITO ADMINISTRATIVO II
